lot;wafer;response;class
lot2;1;1.0278;bad
lot2;2;0.3906;good
lot2;3;0.3906;good
lot2;4;0.405;good
lot2;5;0.405;good
lot2;6;0.405;good
lot2;7;0.3996;good
lot2;8;0.4086;good
lot2;9;0.3906;good
lot2;10;0.405;good
lot2;11;0.396;good
lot2;12;0.396;good
lot2;13;0.3996;good
lot2;14;0.405;good
lot2;15;0.3906;good
lot2;16;0.4086;good
lot2;17;0.9990000000000001;bad
lot2;18;0.405;good
lot2;19;0.396;good
lot2;20;0.4086;good
lot2;21;0.387;good
lot2;22;0.3996;good
lot2;23;0.396;good
lot2;24;0.396;good
lot2;25;1.0170000000000001;bad
lot3;2;0.4176;good
lot3;3;1.8666;bad
lot3;4;1.8648;bad
lot3;5;1.9026;bad
lot3;6;0.9846;bad
lot3;7;1.8846;bad
lot3;8;1.5624;bad
lot3;9;1.899;bad
lot3;10;0.4338;good
lot3;11;1.0098;bad
lot3;12;1.8359999999999999;bad
lot3;13;1.0296;bad
lot3;14;0.4266;good
lot3;15;1.8342;bad
lot3;16;1.8216;bad
lot3;17;0.9954;bad
lot3;18;1.8072;bad
lot3;19;0.99;bad
lot3;20;0.4266;good
lot3;21;1.0008;bad
lot3;22;0.4788;good
lot3;23;0.4176;good
lot3;24;1.8;bad
lot3;25;1.8612;bad
lot4;1;0.495;good
lot4;2;0.47700000000000004;good
lot4;3;0.513;good
lot4;4;0.513;good
lot4;5;0.4662;good
lot4;6;0.504;good
lot4;8;0.4986;good
lot4;9;0.4932;good
lot4;10;0.5076;good
lot4;11;0.4896;good
lot4;12;0.4986;good
lot4;13;0.5202;good
lot4;14;0.4806;good
lot4;15;0.4896;good
lot4;16;0.5256;good
lot4;17;0.4806;good
lot4;18;0.4986;good
lot4;19;0.4806;good
lot4;20;0.486;good
lot4;21;0.495;good
lot4;22;0.5076;good
lot4;23;0.486;good
lot4;24;0.513;good
lot4;25;0.495;good
lot5;1;0.4266;good
lot5;2;0.3906;good
lot5;3;0.3942;good
lot5;4;0.4086;good
lot5;5;0.4086;good
lot5;6;0.3816;good
lot5;7;0.414;good
lot5;8;0.405;good
lot5;9;0.3816;good
lot5;10;0.4068;good
lot5;11;0.4086;good
lot5;12;0.37799999999999995;good
lot5;13;0.414;good
lot5;14;0.3996;good
lot5;15;0.3906;good
lot5;16;0.405;good
lot5;17;0.405;good
lot5;18;0.387;good
lot5;19;0.414;good
lot5;20;0.405;good
lot5;21;0.3906;good
lot5;22;0.414;good
lot5;23;0.405;good
lot5;24;0.3906;good
