number,value,params_batch_size,params_buffer_size,params_double_q,params_dueling,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_layer_1,params_layer_2,params_layer_normalization,params_learning_rate,params_learning_starts,params_negative_reward_bad_wafer,params_negative_reward_good_wafer,params_param_lambda,params_param_noise,params_positive_reward_bad_wafer,params_positive_reward_good_wafer,params_prioritized_replay,params_prioritized_replay_alpha,params_prioritized_replay_beta0,params_target_network_update_freq,state
0,0.8586407935955448,32,30000,True,False,0.1,0.01,0.9,32,64,False,0.0001,3000,0.3,1.0,0.0001,False,0.3,1.0,True,0.6,0.5,1500,COMPLETE
1,0.8703880960668291,128,50000,True,False,0.3,0.0001,0.9,32,128,True,0.01,500,0.5,0.8,0.001,True,0.8,0.5,False,,,500,COMPLETE
2,0.8851287852419074,128,20000,False,False,0.1,0.001,0.9,64,32,False,0.01,3000,0.8,1.0,0.001,False,0.8,1.0,True,0.7,0.4,1000,COMPLETE
3,0.8733205708318831,128,5000,True,True,0.1,0.0001,0.9,32,64,True,0.0001,2000,0.8,0.8,0.01,False,0.5,0.3,False,,,1500,COMPLETE
4,0.6109467455621301,32,40000,False,False,0.2,0.001,0.999,128,32,False,0.001,1000,0.3,0.8,0.0001,False,0.5,0.5,True,0.6,0.6,500,COMPLETE
5,0.8424295161851723,64,5000,False,False,0.1,0.001,0.95,64,128,True,0.01,1000,0.3,0.5,0.01,True,0.3,0.8,False,,,1500,COMPLETE
6,0.864514444831187,128,5000,False,False,0.1,0.01,0.999,128,128,False,0.001,3000,1.0,0.8,0.001,False,0.3,0.8,False,,,1500,COMPLETE
7,0.8630264531848243,64,40000,False,True,0.2,0.0001,0.9,64,32,True,0.0001,2000,1.0,0.8,0.001,True,0.5,0.3,False,,,500,COMPLETE
8,0.8335624782457361,32,5000,False,False,0.3,0.0001,0.999,64,32,True,0.0001,2000,0.5,1.0,0.0001,True,0.5,0.5,False,,,1500,COMPLETE
9,0.8748259658893143,128,10000,False,False,0.3,0.001,0.95,128,128,False,0.001,500,0.5,0.8,0.01,False,0.3,0.5,True,0.65,0.6,1500,COMPLETE
10,,128,20000,True,True,0.1,0.001,0.99,64,32,False,0.01,3000,0.8,0.3,0.001,False,1.0,1.0,True,0.7,0.4,1000,RUNNING
11,0.8733292725374173,128,20000,True,True,0.1,0.001,0.99,64,32,False,0.01,3000,0.8,0.3,0.001,False,1.0,1.0,True,0.7,0.4,1000,COMPLETE
12,0.8718586843021232,128,10000,False,False,0.3,0.001,0.995,128,128,False,0.001,500,0.5,1.0,0.01,False,0.8,1.0,True,0.65,0.4,1000,COMPLETE
13,0.8704229028889663,128,20000,False,False,0.3,0.001,0.95,128,128,False,0.001,500,0.8,0.3,0.01,False,0.8,1.0,True,0.65,0.6,1000,COMPLETE
14,0.8615036547163244,128,10000,False,False,0.3,0.001,0.95,128,32,False,0.01,500,0.5,0.5,0.001,False,1.0,0.5,True,0.7,0.6,1000,COMPLETE
15,0.8718934911242604,128,20000,False,False,0.2,0.001,0.99,64,64,False,0.01,3000,0.8,1.0,0.01,False,0.3,1.0,True,0.65,0.4,1000,COMPLETE
16,0.8659937347720154,64,10000,False,True,0.1,0.001,0.995,64,32,False,0.001,3000,0.5,1.0,0.001,False,0.8,0.5,True,0.7,0.5,1500,COMPLETE
17,0.8674817264183781,128,30000,False,False,0.3,0.01,0.95,128,128,False,0.01,500,0.8,0.3,0.01,False,0.3,0.3,True,0.65,0.6,1000,COMPLETE
18,0.8703880960668291,128,50000,False,False,0.1,0.001,0.95,128,128,False,0.001,1000,1.0,0.5,0.01,False,0.8,0.8,True,0.7,0.4,1000,COMPLETE
19,,64,20000,True,True,0.3,0.001,0.9,64,32,False,0.001,3000,0.5,1.0,0.001,True,1.0,0.5,True,0.7,0.4,1500,RUNNING
20,0.8645057431256526,64,20000,True,True,0.3,0.001,0.9,64,32,False,0.001,3000,0.5,1.0,0.001,True,1.0,0.5,True,0.7,0.4,1500,COMPLETE
21,0.8084493560737904,32,10000,False,False,0.2,0.01,0.995,32,64,False,0.01,500,0.8,0.8,0.0001,False,0.3,1.0,True,0.65,0.6,500,COMPLETE
22,0.876313957535677,128,20000,False,False,0.3,0.001,0.99,128,32,False,0.01,3000,0.5,1.0,0.01,False,0.8,1.0,True,0.6,0.5,1500,COMPLETE
23,0.876313957535677,128,20000,False,False,0.3,0.001,0.99,128,32,False,0.01,3000,0.5,1.0,0.01,False,0.8,1.0,True,0.6,0.5,1500,COMPLETE
24,0.876313957535677,128,20000,False,False,0.3,0.001,0.99,128,32,False,0.01,3000,0.5,1.0,0.01,False,0.8,1.0,True,0.6,0.5,1500,COMPLETE
25,0.876313957535677,128,20000,False,False,0.3,0.001,0.99,128,32,False,0.01,3000,0.5,1.0,0.01,False,0.8,1.0,True,0.6,0.5,1500,COMPLETE
26,0.876313957535677,128,20000,False,False,0.3,0.001,0.99,128,32,False,0.01,3000,0.5,1.0,0.01,False,0.8,1.0,True,0.6,0.5,1500,COMPLETE
27,0.8630351548903585,128,20000,False,False,0.1,0.001,0.99,64,32,False,0.01,3000,0.8,1.0,0.001,False,0.8,1.0,True,0.6,0.5,1000,COMPLETE
28,,128,20000,True,True,0.3,0.001,0.99,128,32,True,0.01,3000,0.3,1.0,0.01,True,0.8,1.0,True,0.6,0.5,1500,RUNNING
29,0.8777584406543683,128,20000,True,True,0.3,0.001,0.99,128,32,True,0.01,3000,0.3,1.0,0.01,True,0.8,1.0,True,0.6,0.5,1500,COMPLETE
30,0.8704142011834319,128,20000,True,True,0.1,0.001,0.99,64,32,True,0.01,3000,0.3,1.0,0.001,True,0.8,1.0,True,0.6,0.5,1000,COMPLETE
31,,64,20000,True,True,0.3,0.0001,0.9,128,32,True,0.01,3000,0.3,1.0,0.0001,True,0.8,1.0,True,0.7,0.4,1500,RUNNING
32,0.8659241211277411,64,20000,True,True,0.3,0.0001,0.9,128,32,True,0.01,3000,0.3,1.0,0.0001,True,0.8,1.0,True,0.7,0.4,1500,COMPLETE
33,0.8733553776540202,32,30000,True,True,0.2,0.01,0.9,32,64,True,0.0001,3000,0.3,1.0,0.01,True,0.8,1.0,True,0.6,0.5,1500,COMPLETE
34,0.8526975287156282,32,50000,True,True,0.1,0.01,0.99,32,32,True,0.01,3000,0.3,1.0,0.0001,True,0.8,1.0,True,0.6,0.5,500,COMPLETE
35,0.8851287852419074,128,20000,True,False,0.3,0.001,0.99,128,32,False,0.01,3000,0.3,1.0,0.01,False,0.8,1.0,True,0.6,0.5,1500,COMPLETE
36,0.876313957535677,128,20000,True,True,0.3,0.001,0.99,128,32,True,0.01,3000,0.3,1.0,0.01,True,0.8,1.0,True,0.6,0.5,1500,COMPLETE
37,0.876313957535677,128,20000,True,True,0.3,0.001,0.99,128,32,True,0.01,3000,0.3,1.0,0.01,True,0.8,1.0,True,0.6,0.5,1500,COMPLETE
38,0.883649495301079,128,40000,True,True,0.3,0.001,0.9,128,32,True,0.01,2000,0.3,1.0,0.01,True,0.8,1.0,False,,,1500,COMPLETE
39,0.8659502262443439,128,40000,True,True,0.3,0.0001,0.9,32,64,True,0.01,2000,0.3,0.5,0.01,True,0.8,0.3,False,,,1500,COMPLETE
40,0.871884789418726,128,40000,True,True,0.1,0.001,0.9,128,32,True,0.0001,2000,0.3,0.3,0.001,True,0.5,0.8,False,,,500,COMPLETE
41,0.8556387051862165,128,40000,True,True,0.3,0.001,0.9,128,32,True,0.01,2000,0.3,1.0,0.01,True,1.0,0.3,False,,,1500,COMPLETE
42,,64,40000,True,True,0.2,0.0001,0.999,64,32,True,0.01,1000,0.3,1.0,0.0001,True,0.8,0.8,False,,,1500,RUNNING
