number,value,params_batch_size,params_buffer_size,params_double_q,params_dueling,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_layer_1,params_layer_2,params_layer_normalization,params_learning_rate,params_learning_starts,params_negative_reward_bad_wafer,params_negative_reward_good_wafer,params_param_lambda,params_param_noise,params_positive_reward_bad_wafer,params_positive_reward_good_wafer,params_prioritized_replay,params_prioritized_replay_alpha,params_prioritized_replay_beta0,params_target_network_update_freq,state
0,0.6506909885906303,32,30000,True,False,0.1,0.01,0.9,32,64,False,0.0001,3000,0.3,1.0,0.0001,False,0.3,1.0,True,0.6,0.5,1500,COMPLETE
1,0.7735139793190847,128,50000,True,False,0.3,0.0001,0.9,32,128,True,0.01,500,0.5,0.8,0.001,True,0.8,0.5,False,,,500,COMPLETE
2,0.7806379308109819,128,20000,False,False,0.1,0.001,0.9,64,32,False,0.01,3000,0.8,1.0,0.001,False,0.8,1.0,True,0.7,0.4,1000,COMPLETE
3,0.7889044785501745,128,5000,True,True,0.1,0.0001,0.9,32,64,True,0.0001,2000,0.8,0.8,0.01,False,0.5,0.3,False,,,1500,COMPLETE
4,0.6401618339083739,32,40000,False,False,0.2,0.001,0.999,128,32,False,0.001,1000,0.3,0.8,0.0001,False,0.5,0.5,True,0.6,0.6,500,COMPLETE
5,0.608119977695753,64,5000,False,False,0.1,0.001,0.95,64,128,True,0.01,1000,0.3,0.5,0.01,True,0.3,0.8,False,,,1500,COMPLETE
6,0.7384167219904959,128,5000,False,False,0.1,0.01,0.999,128,128,False,0.001,3000,1.0,0.8,0.001,False,0.3,0.8,False,,,1500,COMPLETE
7,0.7685162584147188,64,40000,False,True,0.2,0.0001,0.9,64,32,True,0.0001,2000,1.0,0.8,0.001,True,0.5,0.3,False,,,500,COMPLETE
8,0.705092075126198,32,5000,False,False,0.3,0.0001,0.999,64,32,True,0.0001,2000,0.5,1.0,0.0001,True,0.5,0.5,False,,,1500,COMPLETE
9,0.7795789450838267,128,10000,False,False,0.3,0.001,0.95,128,128,False,0.001,500,0.5,0.8,0.01,False,0.3,0.5,True,0.65,0.6,1500,COMPLETE
10,0.7682652661408074,128,10000,True,True,0.1,0.0001,0.99,32,64,True,0.0001,2000,0.8,0.3,0.01,False,1.0,0.3,False,,,1000,COMPLETE
11,,128,20000,True,True,0.1,0.001,0.995,64,64,False,0.01,3000,0.8,1.0,0.001,False,0.8,1.0,True,0.7,0.4,1000,RUNNING
12,0.7467074032318367,128,20000,True,True,0.1,0.001,0.995,64,64,False,0.01,3000,0.8,1.0,0.001,False,0.8,1.0,True,0.7,0.4,1000,COMPLETE
13,0.7408430237435886,128,20000,True,True,0.1,0.0001,0.9,32,32,False,0.01,3000,0.8,0.3,0.01,False,0.8,1.0,True,0.7,0.4,1000,COMPLETE
14,0.7840609146306353,128,20000,True,True,0.1,0.001,0.9,32,64,True,0.0001,2000,0.8,0.5,0.001,False,1.0,0.3,True,0.7,0.4,1000,COMPLETE
15,0.7867908969359554,128,50000,True,True,0.1,0.01,0.99,32,64,True,0.0001,2000,0.8,0.5,0.01,False,1.0,0.3,True,0.65,0.5,1000,COMPLETE
16,0.8047065868820175,64,50000,True,True,0.2,0.01,0.99,32,64,True,0.0001,2000,0.8,0.5,0.01,False,1.0,0.3,False,,,1500,COMPLETE
17,0.7668635150801094,64,50000,True,True,0.2,0.01,0.99,32,64,True,0.0001,2000,0.8,0.5,0.01,False,0.5,0.3,False,,,1500,COMPLETE
18,0.7956615700972999,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,2000,0.8,0.5,0.01,False,1.0,0.3,False,,,1500,COMPLETE
19,0.8154818895308785,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,2000,1.0,0.5,0.01,True,1.0,0.3,False,,,1500,COMPLETE
20,0.8118058183224066,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,1000,1.0,0.5,0.01,True,1.0,0.3,False,,,1500,COMPLETE
21,0.7871695956130517,64,30000,True,True,0.2,0.01,0.995,128,64,True,0.001,1000,1.0,0.5,0.01,True,1.0,0.8,False,,,1500,COMPLETE
22,0.8118058183224066,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,1000,1.0,0.5,0.01,True,1.0,0.3,False,,,1500,COMPLETE
23,0.8118058183224066,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,1000,1.0,0.5,0.01,True,1.0,0.3,False,,,1500,COMPLETE
24,0.8118058183224066,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,1000,1.0,0.5,0.01,True,1.0,0.3,False,,,1500,COMPLETE
25,0.8118058183224066,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,1000,1.0,0.5,0.01,True,1.0,0.3,False,,,1500,COMPLETE
26,0.7996125610004553,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,1000,1.0,0.3,0.0001,True,1.0,0.3,False,,,500,COMPLETE
27,0.8118058183224066,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,1000,1.0,0.5,0.01,True,1.0,0.3,False,,,1500,COMPLETE
28,0.8177526007703249,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,500,1.0,0.5,0.01,True,1.0,0.3,False,,,1500,COMPLETE
29,0.7831336765022374,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,500,1.0,0.5,0.01,True,1.0,0.8,False,,,1500,COMPLETE
30,,32,30000,True,True,0.3,0.01,0.95,128,128,True,0.001,500,0.3,0.5,0.0001,True,1.0,1.0,False,,,1500,RUNNING
31,0.7384249713237897,32,30000,True,True,0.3,0.01,0.95,128,128,True,0.001,500,0.3,0.5,0.0001,True,1.0,1.0,False,,,1500,COMPLETE
32,0.6433173293014997,32,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,500,1.0,0.3,0.01,True,0.3,0.3,False,,,1500,COMPLETE
33,0.8118058183224066,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,500,1.0,0.5,0.01,True,1.0,0.3,False,,,1500,COMPLETE
34,0.8118058183224066,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,500,1.0,0.5,0.01,True,1.0,0.3,False,,,1500,COMPLETE
35,0.8546374559191587,64,30000,True,True,0.2,0.01,0.995,32,64,True,0.0001,500,1.0,0.5,0.01,True,1.0,0.3,False,,,500,COMPLETE
36,0.8361488832579581,64,10000,True,True,0.2,0.01,0.995,32,64,True,0.0001,500,1.0,1.0,0.01,True,0.8,0.3,False,,,500,COMPLETE
37,0.790591859717513,64,10000,True,True,0.3,0.01,0.995,32,64,True,0.01,500,0.5,1.0,0.0001,True,0.8,0.3,False,,,500,COMPLETE
38,0.6895994481251092,64,10000,True,False,0.2,0.01,0.995,32,32,False,0.0001,500,1.0,1.0,0.01,True,0.8,0.5,False,,,500,COMPLETE
39,0.7800039916462469,64,40000,True,True,0.2,0.01,0.95,64,128,True,0.01,500,0.3,1.0,0.01,True,0.8,1.0,False,,,500,COMPLETE
40,0.7212827515851477,32,10000,False,False,0.2,0.01,0.995,32,64,True,0.0001,500,1.0,1.0,0.001,True,0.8,0.8,False,,,500,COMPLETE
